grading,R,G,B,H_HSV,S_HSV,V_HSV,H_HSI,S_HSI,I_HSI,CONTRAST,CORRELATION,ENERGY,HOMOGENEITY
A,99.517578125,55.29296875,76.5966796875,330.0564,0.458516,0.39032248,5.761245,0.30183345,0.3024931,403.2197580645204,0.4923878618650496,0.029510647516743593,0.10468891897105359
A,65.466796875,36.09375,53.8876953125,313.143,0.49947298,0.2686083,5.4674983,0.3333156,0.20320033,327.6542338709714,0.650172345564164,0.03639517781962836,0.15160527946109342
A,82.9189453125,44.048828125,64.4912109375,327.32144,0.48111266,0.3253638,5.7114534,0.32582027,0.2502732,236.0241935483891,0.5297474003401232,0.036963129268748084,0.13839180659893233
A,98.0693359375,54.1806640625,76.0673828125,328.96686,0.46015805,0.38463157,5.7410326,0.30502978,0.2984541,290.7066532258095,0.6073881987550087,0.03198917671899733,0.12119069164045758
A,85.560546875,36.7958984375,54.9912109375,336.40298,0.5882143,0.33984375,5.884805,0.39688683,0.23182702,113.57157258064579,0.6652844741476137,0.05228833657499044,0.21962198630809518
A,85.0068359375,35.9833984375,53.470703125,338.48828,0.588572,0.33336017,5.9209957,0.3989123,0.22805354,194.60786290322676,0.43772163712435797,0.04181949296913594,0.16618777721070502
A,81.3974609375,34.2265625,52.4912109375,336.57867,0.5929533,0.31920576,5.8849173,0.40903193,0.2197585,250.71270161290593,0.3383121721359617,0.04422865114612958,0.15705467853252172
A,85.279296875,36.654296875,54.68359375,336.54492,0.58844304,0.33876,5.8874454,0.39667696,0.23087215,115.78024193548447,0.6598556230384631,0.0549325794673869,0.21288879250249987
A,84.830078125,36.00390625,53.2861328125,338.64822,0.58657837,0.332667,5.924069,0.39612,0.227608,189.29838709677534,0.41715278170578624,0.043288126116096386,0.17183411279438546
A,81.0615234375,34.4111328125,52.7431640625,336.23233,0.58785,0.31788832,5.878441,0.40443182,0.21988997,226.99899193548612,0.3518655445526052,0.04532928862080129,0.17199175395985256
A,93.90234375,43.8544921875,61.83203125,338.0924,0.5593287,0.3682445,5.9127636,0.3768867,0.2609005,781.2550403225893,0.2513172336067256,0.03089845186289214,0.08399083121533393
A,89.3564453125,41.44921875,59.3291015625,336.9221,0.5658107,0.35041744,5.8903246,0.3868882,0.24854219,759.667338709687,0.2992647096965881,0.030542857676499023,0.08914039625217193
A,80.2431640625,35.1552734375,54.900390625,332.9371,0.5905861,0.31470972,5.816199,0.42113763,0.22261286,718.6824596774283,0.19476367899598884,0.035217394293474424,0.10034641031228674
A,93.4091796875,43.4580078125,61.7880859375,337.61816,0.5596367,0.36631054,5.903928,0.37801492,0.25968012,700.9959677419437,0.26962543099993946,0.03035094600267136,0.06994221792119529
A,89.2216796875,41.1787109375,59.5048828125,336.4642,0.5668211,0.34988898,5.8818283,0.38879913,0.2482422,702.2610887096856,0.31035985319488507,0.03079962926905763,0.0845052156000349
A,80.703125,35.54296875,55.291015625,332.97418,0.5882388,0.31652498,5.8168144,0.41903013,0.22423153,717.9233870967809,0.2024964308887053,0.033502034995733676,0.10578466850352146
A,90.4404296875,41.302734375,63.37109375,332.65125,0.56745225,0.35471433,5.810758,0.39630982,0.25505134,777.4778225806533,0.23594720120370383,0.04096018075385063,0.14687741219205744
A,83.7021484375,35.916015625,57.765625,332.2851,0.58956003,0.3282897,5.804037,0.41714334,0.23187426,628.4415322580685,0.11728283313582151,0.055535115003385295,0.21570549107190815
A,85.72265625,36.6953125,57.4189453125,333.42096,0.5923877,0.3407246,5.8291693,0.40880123,0.23508096,286.90020161290505,0.4076809685504144,0.06455942977354,0.2510363989204463
A,85.560546875,41.0703125,61.1572265625,332.411,0.54595095,0.33553156,5.80571,0.3779673,0.24547464,609.1250000000069,0.34430445413287963,0.03472339647106803,0.10214133001310867
A,79.623046875,35.23046875,55.1044921875,332.68903,0.57499903,0.31224725,5.8111353,0.40273649,0.22216734,368.8306451612929,0.31463651825607136,0.043679564603413705,0.16440652565653793
A,82.5634765625,36.4111328125,55.7255859375,333.24734,0.5841751,0.32933137,5.826642,0.4009372,0.22836629,272.35584677419575,0.47128187030272783,0.04444067025233301,0.17296059673482309
A,91.7060546875,41.5751953125,64.111328125,332.69843,0.56996834,0.3596316,5.811451,0.39871663,0.25802952,683.7036290322648,0.32602936431344726,0.04265554453958789,0.14566634936149964
A,84.6474609375,35.6904296875,58.0556640625,332.33563,0.5964307,0.33195084,5.8046775,0.42417383,0.2331942,449.6653225806489,0.3351738508244273,0.057322452155084185,0.22254026314620273
A,85.34375,35.404296875,57.205078125,332.52902,0.6049138,0.33953738,5.8126554,0.42349857,0.23261848,225.1955645161305,0.4779671636793369,0.06235757054118004,0.237380826770293
